county,name,n
AA,Alachua,1407
AC,Bay,114
AD,Brevard,27
AE,Calhoun,35
AG,Citrus,5998
AI,Miami-Dade,8864
AL,Flagler,2889
AM,Gadsden,48
AP,Hendry,437
AQ,Hernando,1434
AR,Hillsborough,15014
AS,Holmes,77
AU,Jackson,56
AV,Jefferson,41
AW,Lee,7571
AY,Liberty,70
AZ,Madison,44
BB,Martin,2256
BD,Okaloosa,198
BF,Orange,35
BG,Osceola,1521
BH,Palm Beach,6710
BI,Pasco,3069
BJ,Pinellas,17936
BK,Polk,15257
BL,Santa Rosa,112
BM,Sarasota,221
BN,St. Johns,16417
BO,St. Lucie,2308
BQ,Taylor,70
BS,Wakulla,63
BT,Walton,4663
BU,Washington,29
